id,date,weather,weekday,store_nbr,item_nbr,item_name,unit_sales,onpromotion,category,holiday,item_class,perishable,cost_price,price
88139606,2016-08-16,54.5,Tuesday,1,1124165,Ozarka 100% Natural Spring Water 6 x 16.9 fl oz,7.0,True,BEVERAGES,0,1124,0,3.2,4.31
88139838,2016-08-16,54.5,Tuesday,1,1313223,Pepperidge Farm Soft Dinner Rolls 12 Count,10.0,False,BREAD/BAKERY,0,2714,1,1.9,2.76
88139880,2016-08-16,54.5,Tuesday,1,1349808,Prego Traditional Italian Sauce 24 oz Jar,1.0,False,GROCERY I,0,1030,0,3.9,5.28
88139889,2016-08-16,54.5,Tuesday,1,1354383,Bertolli Extra Virgin Olive Oil 16.9 fl oz,1.0,False,GROCERY I,0,1042,0,5.2,6.95
88139894,2016-08-16,54.5,Tuesday,1,1354390,Domino Granulated Sugar 4 lb,7.0,False,GROCERY I,0,1042,0,3.2,4.41
88140155,2016-08-16,54.5,Tuesday,1,1472479,Meow Mix Original Choice Dry Cat Food 3.15 lb,1.0,False,PET SUPPLIES,0,6517,0,6.3,8.35
88140295,2016-08-16,54.5,Tuesday,1,1686685,"Dole Bananas, 2 lb Bunch",3.0,False,PRODUCE,0,2034,1,2.8,3.96
88140566,2016-08-16,54.5,Tuesday,1,2010456,Uncle Ben’s Jasmine Rice 5 lb,5.0,False,GROCERY I,0,1052,0,6.6,8.86
88234586,2016-08-17,58.2,Wednesday,1,108952,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,1.0,False,CLEANING,0,3024,0,6.8,8.86
88234855,2016-08-17,58.2,Wednesday,1,402175,Mahatma Extra Long Grain Enriched Rice 5 lb,3.0,False,GROCERY I,0,1096,0,6.6,8.84
88234908,2016-08-17,58.2,Wednesday,1,459804,Morton Iodized Salt 26 oz,1.0,False,GROCERY I,0,1086,0,2.2,3.11
88235140,2016-08-17,58.2,Wednesday,1,759694,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,7.0,False,GROCERY I,0,1070,0,6.2,8.29
88235551,2016-08-17,58.2,Wednesday,1,1124165,Ozarka 100% Natural Spring Water 6 x 16.9 fl oz,3.0,True,BEVERAGES,0,1124,0,3.2,4.31
88235788,2016-08-17,58.2,Wednesday,1,1313223,Pepperidge Farm Soft Dinner Rolls 12 Count,11.0,False,BREAD/BAKERY,0,2714,1,1.9,2.76
88235833,2016-08-17,58.2,Wednesday,1,1349808,Prego Traditional Italian Sauce 24 oz Jar,4.0,False,GROCERY I,0,1030,0,3.9,5.28
88235840,2016-08-17,58.2,Wednesday,1,1354383,Bertolli Extra Virgin Olive Oil 16.9 fl oz,1.0,False,GROCERY I,0,1042,0,5.2,6.95
88235843,2016-08-17,58.2,Wednesday,1,1354390,Domino Granulated Sugar 4 lb,1.0,False,GROCERY I,0,1042,0,3.2,4.41
88236118,2016-08-17,58.2,Wednesday,1,1471460,Borden Whole Milk Gallon,2.0,False,DAIRY,0,2128,1,5.1,6.78
88236264,2016-08-17,58.2,Wednesday,1,1686685,"Dole Bananas, 2 lb Bunch",4.0,True,PRODUCE,0,2034,1,2.8,3.96
88329920,2016-08-18,56.4,Thursday,1,402175,Mahatma Extra Long Grain Enriched Rice 5 lb,2.0,False,GROCERY I,0,1096,0,6.6,8.84
88329969,2016-08-18,56.4,Thursday,1,459804,Morton Iodized Salt 26 oz,2.0,False,GROCERY I,0,1086,0,2.2,3.11
88330189,2016-08-18,56.4,Thursday,1,759694,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.0,False,GROCERY I,0,1070,0,6.2,8.29
88330578,2016-08-18,56.4,Thursday,1,1124165,Ozarka 100% Natural Spring Water 6 x 16.9 fl oz,6.0,True,BEVERAGES,0,1124,0,3.2,4.31
88330786,2016-08-18,56.4,Thursday,1,1313223,Pepperidge Farm Soft Dinner Rolls 12 Count,3.0,False,BREAD/BAKERY,0,2714,1,1.9,2.76
88330833,2016-08-18,56.4,Thursday,1,1349808,Prego Traditional Italian Sauce 24 oz Jar,1.0,False,GROCERY I,0,1030,0,3.9,5.28
88330844,2016-08-18,56.4,Thursday,1,1354390,Domino Granulated Sugar 4 lb,3.0,False,GROCERY I,0,1042,0,3.2,4.41
88331104,2016-08-18,56.4,Thursday,1,1471460,Borden Whole Milk Gallon,1.0,False,DAIRY,0,2128,1,5.1,6.78
88331248,2016-08-18,56.4,Thursday,1,1686685,"Dole Bananas, 2 lb Bunch",5.0,False,PRODUCE,0,2034,1,2.8,3.96
88421398,2016-08-19,54.25,Friday,1,108952,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,1.0,False,CLEANING,0,3024,0,6.8,8.86
88421653,2016-08-19,54.25,Friday,1,402175,Mahatma Extra Long Grain Enriched Rice 5 lb,5.0,False,GROCERY I,0,1096,0,6.6,8.84
88421705,2016-08-19,54.25,Friday,1,459804,Morton Iodized Salt 26 oz,2.0,False,GROCERY I,0,1086,0,2.2,3.11
88421943,2016-08-19,54.25,Friday,1,759694,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,1.0,False,GROCERY I,0,1070,0,6.2,8.29
88422578,2016-08-19,54.25,Friday,1,1313223,Pepperidge Farm Soft Dinner Rolls 12 Count,6.0,False,BREAD/BAKERY,0,2714,1,1.9,2.76
88422628,2016-08-19,54.25,Friday,1,1349808,Prego Traditional Italian Sauce 24 oz Jar,1.0,False,GROCERY I,0,1030,0,3.9,5.28
88422637,2016-08-19,54.25,Friday,1,1354390,Domino Granulated Sugar 4 lb,2.0,False,GROCERY I,0,1042,0,3.2,4.41
88422897,2016-08-19,54.25,Friday,1,1471460,Borden Whole Milk Gallon,3.0,False,DAIRY,0,2128,1,5.1,6.78
88423039,2016-08-19,54.25,Friday,1,1686685,"Dole Bananas, 2 lb Bunch",3.0,False,PRODUCE,0,2034,1,2.8,3.96
88423318,2016-08-19,54.25,Friday,1,2010456,Uncle Ben’s Jasmine Rice 5 lb,1.0,False,GROCERY I,0,1052,0,6.6,8.86
88515715,2016-08-20,56.15,Saturday,1,108952,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,4.0,False,CLEANING,0,3024,0,6.8,8.86
88515977,2016-08-20,56.15,Saturday,1,402175,Mahatma Extra Long Grain Enriched Rice 5 lb,1.0,False,GROCERY I,0,1096,0,6.6,8.84
88516028,2016-08-20,56.15,Saturday,1,459804,Morton Iodized Salt 26 oz,3.0,False,GROCERY I,0,1086,0,2.2,3.11
88516183,2016-08-20,56.15,Saturday,1,655749,Barilla Spaghetti Pasta 2 lb,4.0,False,GROCERY I,0,1096,0,5.9,7.85
88516250,2016-08-20,56.15,Saturday,1,759694,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,4.0,False,GROCERY I,0,1070,0,6.2,8.29
88516869,2016-08-20,56.15,Saturday,1,1313223,Pepperidge Farm Soft Dinner Rolls 12 Count,11.0,False,BREAD/BAKERY,0,2714,1,1.9,2.76
88516919,2016-08-20,56.15,Saturday,1,1354383,Bertolli Extra Virgin Olive Oil 16.9 fl oz,1.0,False,GROCERY I,0,1042,0,5.2,6.95
88516923,2016-08-20,56.15,Saturday,1,1354390,Domino Granulated Sugar 4 lb,2.0,False,GROCERY I,0,1042,0,3.2,4.41
88517164,2016-08-20,56.15,Saturday,1,1471460,Borden Whole Milk Gallon,4.0,False,DAIRY,0,2128,1,5.1,6.78
88517309,2016-08-20,56.15,Saturday,1,1686685,"Dole Bananas, 2 lb Bunch",7.0,False,PRODUCE,0,2034,1,2.8,3.96
88616120,2016-08-21,56.05,Sunday,1,108952,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,1.0,False,CLEANING,0,3024,0,6.8,8.86
88616296,2016-08-21,56.05,Sunday,1,402175,Mahatma Extra Long Grain Enriched Rice 5 lb,1.0,False,GROCERY I,0,1096,0,6.6,8.84
88616332,2016-08-21,56.05,Sunday,1,459804,Morton Iodized Salt 26 oz,1.0,False,GROCERY I,0,1086,0,2.2,3.11
88616490,2016-08-21,56.05,Sunday,1,759694,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,3.0,False,GROCERY I,0,1070,0,6.2,8.29
88616764,2016-08-21,56.05,Sunday,1,1124165,Ozarka 100% Natural Spring Water 6 x 16.9 fl oz,5.0,True,BEVERAGES,0,1124,0,3.2,4.31
88616910,2016-08-21,56.05,Sunday,1,1313223,Pepperidge Farm Soft Dinner Rolls 12 Count,2.0,False,BREAD/BAKERY,0,2714,1,1.9,2.76
88616928,2016-08-21,56.05,Sunday,1,1349808,Prego Traditional Italian Sauce 24 oz Jar,2.0,False,GROCERY I,0,1030,0,3.9,5.28
88617096,2016-08-21,56.05,Sunday,1,1471460,Borden Whole Milk Gallon,3.0,False,DAIRY,0,2128,1,5.1,6.78
88617205,2016-08-21,56.05,Sunday,1,1686685,"Dole Bananas, 2 lb Bunch",1.0,False,PRODUCE,0,2034,1,2.8,3.96
88717032,2016-08-22,50.0,Monday,1,108952,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,1.0,False,CLEANING,0,3024,0,6.8,8.86
88717291,2016-08-22,50.0,Monday,1,402175,Mahatma Extra Long Grain Enriched Rice 5 lb,2.0,False,GROCERY I,0,1096,0,6.6,8.84
88717343,2016-08-22,50.0,Monday,1,459804,Morton Iodized Salt 26 oz,1.0,False,GROCERY I,0,1086,0,2.2,3.11
88717493,2016-08-22,50.0,Monday,1,655749,Barilla Spaghetti Pasta 2 lb,1.0,False,GROCERY I,0,1096,0,5.9,7.85
88717562,2016-08-22,50.0,Monday,1,759694,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,5.0,False,GROCERY I,0,1070,0,6.2,8.29
88717942,2016-08-22,50.0,Monday,1,1124165,Ozarka 100% Natural Spring Water 6 x 16.9 fl oz,1.0,False,BEVERAGES,0,1124,0,3.2,4.31
88718175,2016-08-22,50.0,Monday,1,1313223,Pepperidge Farm Soft Dinner Rolls 12 Count,10.0,False,BREAD/BAKERY,0,2714,1,1.9,2.76
88718213,2016-08-22,50.0,Monday,1,1349808,Prego Traditional Italian Sauce 24 oz Jar,3.0,False,GROCERY I,0,1030,0,3.9,5.28
88718222,2016-08-22,50.0,Monday,1,1354390,Domino Granulated Sugar 4 lb,3.0,False,GROCERY I,0,1042,0,3.2,4.41
88718482,2016-08-22,50.0,Monday,1,1471460,Borden Whole Milk Gallon,5.0,False,DAIRY,0,2128,1,5.1,6.78
88718486,2016-08-22,50.0,Monday,1,1472479,Meow Mix Original Choice Dry Cat Food 3.15 lb,2.0,False,PET SUPPLIES,0,6517,0,6.3,8.35
88718627,2016-08-22,50.0,Monday,1,1686685,"Dole Bananas, 2 lb Bunch",6.0,False,PRODUCE,0,2034,1,2.8,3.96
88811977,2016-08-23,54.15,Tuesday,1,402175,Mahatma Extra Long Grain Enriched Rice 5 lb,1.0,False,GROCERY I,0,1096,0,6.6,8.84
88812185,2016-08-23,54.15,Tuesday,1,655749,Barilla Spaghetti Pasta 2 lb,1.0,False,GROCERY I,0,1096,0,5.9,7.85
88812257,2016-08-23,54.15,Tuesday,1,759694,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,2.0,False,GROCERY I,0,1070,0,6.2,8.29
88812639,2016-08-23,54.15,Tuesday,1,1124165,Ozarka 100% Natural Spring Water 6 x 16.9 fl oz,16.0,True,BEVERAGES,0,1124,0,3.2,4.31
88812844,2016-08-23,54.15,Tuesday,1,1313223,Pepperidge Farm Soft Dinner Rolls 12 Count,11.0,False,BREAD/BAKERY,0,2714,1,1.9,2.76
88812890,2016-08-23,54.15,Tuesday,1,1349808,Prego Traditional Italian Sauce 24 oz Jar,3.0,False,GROCERY I,0,1030,0,3.9,5.28
88812903,2016-08-23,54.15,Tuesday,1,1354390,Domino Granulated Sugar 4 lb,1.0,False,GROCERY I,0,1042,0,3.2,4.41
88812971,2016-08-23,54.15,Tuesday,1,1441514,Carolina Long Grain White Rice 5 lb,1.0,False,GROCERY I,0,1008,0,5.1,6.99
88813169,2016-08-23,54.15,Tuesday,1,1471460,Borden Whole Milk Gallon,2.0,False,DAIRY,0,2128,1,5.1,6.78
88813172,2016-08-23,54.15,Tuesday,1,1472479,Meow Mix Original Choice Dry Cat Food 3.15 lb,2.0,False,PET SUPPLIES,0,6517,0,6.3,8.35
88813312,2016-08-23,54.15,Tuesday,1,1686685,"Dole Bananas, 2 lb Bunch",9.0,False,PRODUCE,0,2034,1,2.8,3.96
88813601,2016-08-23,54.15,Tuesday,1,2010456,Uncle Ben’s Jasmine Rice 5 lb,2.0,False,GROCERY I,0,1052,0,6.6,8.86
88905057,2016-08-24,52.6,Wednesday,1,108952,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,2.0,False,CLEANING,1,3024,0,6.8,8.86
88905325,2016-08-24,52.6,Wednesday,1,402175,Mahatma Extra Long Grain Enriched Rice 5 lb,4.0,False,GROCERY I,1,1096,0,6.6,8.84
88905372,2016-08-24,52.6,Wednesday,1,459804,Morton Iodized Salt 26 oz,2.0,False,GROCERY I,1,1086,0,2.2,3.11
88905548,2016-08-24,52.6,Wednesday,1,655749,Barilla Spaghetti Pasta 2 lb,1.0,False,GROCERY I,1,1096,0,5.9,7.85
88905614,2016-08-24,52.6,Wednesday,1,759694,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,2.0,False,GROCERY I,1,1070,0,6.2,8.29
88906018,2016-08-24,52.6,Wednesday,1,1124165,Ozarka 100% Natural Spring Water 6 x 16.9 fl oz,1.0,False,BEVERAGES,1,1124,0,3.2,4.31
88906248,2016-08-24,52.6,Wednesday,1,1313223,Pepperidge Farm Soft Dinner Rolls 12 Count,11.0,False,BREAD/BAKERY,1,2714,1,1.9,2.76
88906303,2016-08-24,52.6,Wednesday,1,1354383,Bertolli Extra Virgin Olive Oil 16.9 fl oz,3.0,False,GROCERY I,1,1042,0,5.2,6.95
88906307,2016-08-24,52.6,Wednesday,1,1354390,Domino Granulated Sugar 4 lb,3.0,False,GROCERY I,1,1042,0,3.2,4.41
88906374,2016-08-24,52.6,Wednesday,1,1441514,Carolina Long Grain White Rice 5 lb,1.0,False,GROCERY I,1,1008,0,5.1,6.99
88906574,2016-08-24,52.6,Wednesday,1,1471460,Borden Whole Milk Gallon,4.0,False,DAIRY,1,2128,1,5.1,6.78
88906581,2016-08-24,52.6,Wednesday,1,1472479,Meow Mix Original Choice Dry Cat Food 3.15 lb,2.0,False,PET SUPPLIES,1,6517,0,6.3,8.35
88906729,2016-08-24,52.6,Wednesday,1,1686685,"Dole Bananas, 2 lb Bunch",6.0,True,PRODUCE,1,2034,1,2.8,3.96
88907021,2016-08-24,52.6,Wednesday,1,2010456,Uncle Ben’s Jasmine Rice 5 lb,3.0,False,GROCERY I,1,1052,0,6.6,8.86
88997590,2016-08-25,53.6,Thursday,1,402175,Mahatma Extra Long Grain Enriched Rice 5 lb,31.0,False,GROCERY I,0,1096,0,6.6,8.84
88997636,2016-08-25,53.6,Thursday,1,459804,Morton Iodized Salt 26 oz,2.0,False,GROCERY I,0,1086,0,2.2,3.11
88997784,2016-08-25,53.6,Thursday,1,655749,Barilla Spaghetti Pasta 2 lb,2.0,False,GROCERY I,0,1096,0,5.9,7.85
88997849,2016-08-25,53.6,Thursday,1,759694,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.0,False,GROCERY I,0,1070,0,6.2,8.29
88998222,2016-08-25,53.6,Thursday,1,1124165,Ozarka 100% Natural Spring Water 6 x 16.9 fl oz,1.0,False,BEVERAGES,0,1124,0,3.2,4.31
88998430,2016-08-25,53.6,Thursday,1,1313223,Pepperidge Farm Soft Dinner Rolls 12 Count,5.0,False,BREAD/BAKERY,0,2714,1,1.9,2.76
88998474,2016-08-25,53.6,Thursday,1,1349808,Prego Traditional Italian Sauce 24 oz Jar,3.0,False,GROCERY I,0,1030,0,3.9,5.28
88998485,2016-08-25,53.6,Thursday,1,1354390,Domino Granulated Sugar 4 lb,3.0,False,GROCERY I,0,1042,0,3.2,4.41
